Name,District,Transportation
Siddhipur,Lalitpur,"From Kathmandu, drive south to Lalitpur to Siddhipur village."
Lubhu,Lalitpur,"From Kathmandu, drive southeast to Lalitpur to Lubhu village."
Dadhikot,Bhaktapur,"From Kathmandu, drive east to Dadhikot village in Bhaktapur District."
Gundu Chaur,Kathmandu,"From Kathmandu, drive south via Godawari to Gundu Chaur."
Ranikot,Kathmandu,"From Kathmandu, drive south via Godawari to Ranikot village."
Sirandada,Ramechhap,"From Kathmandu, drive north via Helambu trail to Sirandada village."
Ghyampe Danda,Ramechhap,"From Kathmandu, drive north via Helambu trail to Ghyampe Danda."
Nangkhel,Ramechhap,"From Kathmandu, drive north via Helambu trail to Nangkhel village."
Bhainsepati,Lalitpur,"From Kathmandu, drive south to Lalitpur to reach Bhainsepati area."
Dhunkharka,Ramechhap,"From Kathmandu, drive south via Godawari to Dhunkharka village."
Tindhare Jharana,Ramechhap,"From Kathmandu, drive north via Helambu trail to Tindhare Waterfall."
Patlekhet,Ramechhap,"From Kathmandu, drive east via Panchkhal to Patlekhet village."
TinPiple,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to TinPiple village."
Dulalthok,Kavrepalanchok,"From Kathmandu, drive east via Panchkhal and Banepa to Dulalthok village."
Panchkhal,Kavrepalanchok,"From Kathmandu, drive east to reach Panchkhal town."
Jyamdi Mandan,Kavrepalanchok,"From Kathmandu, drive south via Godawari and Chapagaun to Jyamdi Mandan village."
Phalante,Kavrepalanchok,"From Kathmandu, drive east via Panchkhal to Phalante village."
Panichaur,Kavrepalanchok,"From Kathmandu, drive east via Panchkhal to Panichaur village."
Bethan,Dhading,"From Kathmandu, drive east via Banepa Highway to Bethan village."
Madan Kundari,Kavrepalanchok,"From Kathmandu, drive east via Panchkhal to Madan Kundari village."
Gunsi Bhadaure,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Gunsi Bhadaure village."
Tokarpur,Kavrepalanchok,"From Kathmandu, drive south via Godawari to Tokarpur village."
Katakuti,Ramechhap,"From Kathmandu, drive north via Helambu trail to Katakuti village."
Bhusapheda,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Bhusapheda village."
Marming,Ramechhap,"From Kathmandu, drive north via Helambu trail to Marming village (repeat)."
Tauthali,Sindhupalchok,"From Kathmandu, drive north via Helambu trail to Tauthali village."
Piskar,Ramechhap,"From Kathmandu, drive north via Helambu trail to Piskar village."
Kharidhunga,Dolakha,"From Kathmandu, drive north via Helambu trail to Kharidhunga village."
Nalang,Dhading,"From Kathmandu, drive northwest via Tokha and Nuwakot District to reach Nalang village."
Bungchung,Ramechhap,"From Kathmandu, drive north via Sundarijal and Helambu trail to Bungchung village."
Dovantar,Ramechhap,"From Kathmandu, drive north via Helambu and Melamchi Valley to Dovantar village."
Sasaha,Ramechhap,"From Kathmandu, drive north via Helambu trail to Sasaha village."
Murali Bhanjyang,Kavrepalanchok,"From Kathmandu, drive north via Helambu and Melamchi Valley to Murali Bhanjyang."
Aansi Khola Motorable Bridge,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to reach Aansi Khola Motorable Bridge."
Sunkhani,Kavrepalanchok,"From Kathmandu, drive east via Panchkhal Highway to Sunkhani village."
Golabhanjyang,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Golabhanjyang."
Jyamrung,Kavrepalanchok,"From Kathmandu, drive northwest via Dhading District to reach Jyamrung village."
Katunge,Kavrepalanchok,"From Kathmandu, drive north via Helambu and Melamchi Valley to Katunge village."
Phulkharka,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Phulkharka village."
Budhathum,Dhading,"From Kathmandu, drive northwest via Dhading District to Budhathum village."
Mulpani,Kathmandu,"From Kathmandu, drive southeast within the city to reach Mulpani."
Sangkosh,Dhading,"From Kathmandu, drive northwest via Dhading and Nuwakot to Sangkosh area."
Sertung,Ramechhap,"From Kathmandu, drive north via Helambu trail to Sertung village."
Babil Waterfall,Ramechhap,"From Kathmandu, drive north via Helambu trail to Babil Waterfall."
Borang,Ramechhap,"From Kathmandu, drive north via Helambu trail to Borang village."
Kalo Daha Mhane,Ramechhap,"From Kathmandu, drive north via Helambu and Melamchi Valley to Kalo Daha Mhane."
Pusu Wala Kharka,Ramechhap,"From Kathmandu, drive north via Helambu trail to Pusu Wala Kharka."
Pabil,Ramechhap,"From Kathmandu, drive north via Helambu and Melamchi Valley to Pabil village."
Dhunche,Rasuwa,"From Kathmandu, drive north via Trishuli Bazaar to reach Dhunche, Rasuwa District."
Chandanbari,Dolakha,"From Kathmandu, drive south via Godawari and Chapagaun to Chandanbari village."
Lauri Binayak,Ramechhap,"From Kathmandu, drive north via Helambu trail to Lauri Binayak village."
Gaunkharka,Ramechhap,"From Kathmandu, drive north via Helambu trail to Gaunkharka village."
Sursing Waterfall,Ramechhap,"From Kathmandu, drive north via Helambu trail to Sursing Waterfall."
MaginGoth,Ramechhap,"From Kathmandu, drive north via Helambu trail to MaginGoth village."
Thakani,Ramechhap,"From Kathmandu, drive north via Helambu trail to Thakani village."
Talramarang,Ramechhap,"From Kathmandu, drive north via Helambu trail to Talramarang village."
Dubachaur,Ramechhap,"From Kathmandu, drive north via Helambu trail to Dubachaur village."
Tipeni,Ramechhap,"From Kathmandu, drive north via Helambu trail to Tipeni village."
Sikharpur,Ramechhap,"From Kathmandu, drive north via Helambu trail to Sikharpur village."
Dolalghat,Kavrepalanchok,"From Kathmandu, drive east via Arniko Highway to Dolalghat town."
Phalate Bhumlu,Kavrepalanchok,"From Kathmandu, drive east via Bhumlu and Dolalghat to Phalate village."
Chaubas,Dhading,"From Kathmandu, drive north via Sindhupalchok District to Chaubas."
Sanowangthali,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Sanowangthali village."
Bangthali,Ramechhap,"From Kathmandu, drive north via Helambu and Melamchi Valley to Bangthali village."
Dhumthang,Ramechhap,"From Kathmandu, drive north via Helambu trail to Dhumthang village."
Nitya Chandeshwor,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Nitya Chandeshwor."
Mahendrajyoti,Kavrepalanchok,"From Kathmandu, drive south via Godawari to Mahendrajyoti area."
Gairi Gaun,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Gairi Gaun."
Kursi Dada,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Kursi Dada viewpoint."
Batase Dada,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Batase Dada viewpoint."
Rolling Batase Hills,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Rolling Batase Hills."
Judlee,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Judlee village."
Thadobato,Lalitpur,"From Kathmandu, drive north via Helambu trail to Thadobato village."
Fulchoki Mandir (Basnet Gau),Lalitpur,"From Kathmandu, drive south via Godawari to Fulchoki Mandir area."
Sansari Devi Temple,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Sansari Devi Temple."
Dhaneshwor,Kathmandu,"From Kathmandu, drive south via Godawari to Dhaneshwor area."
Nagai Dhunga,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Nagai Dhunga."
Dhaneshwor Mahadev Temple,Kathmandu,"From Kathmandu, drive south via Godawari to Dhaneshwor Mahadev Temple."
Bogati Gaun,Lalitpur,"From Kathmandu, drive south via Godawari to Bogati Gaun village."
Shreekhandpur,Kavrepalanchok,"From Kathmandu, drive south via Godawari to Shreekhandpur village."
Devisthan (Laa Than Pata),Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Devisthan."
Shrikhandapur Bindhabasini Temple,Kavrepalanchok,"From Kathmandu, drive south via Godawari to Shrikhandapur Bindhabasini Temple."
Salle Panuati,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Salle Panuati village."
Talu Dadha,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Talu Dadha village."
Chature Village,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Chature village."
Lukeko Dada,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Lukeko Dada viewpoint."
Ashapuri Mahadev,Kavrepalanchok,"From Kathmandu, drive south via Godawari to Ashapuri Mahadev Temple."
Dhad Gaun,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Dhad Gaun village."
Seti Devi,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Seti Devi temple."
Kotthumka,Kavrepalanchok,"From Kathmandu, drive north via Sundarijal and Helambu trail to Kotthumka village."
Raut Gaun,Kavrepalanchok,"From Kathmandu, drive north via Helambu and Melamchi Valley to Raut Gaun."
Chittapol,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Chittapol village."
Soche,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Soche village."
Kakhbari,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Kakhbari village."
Bairikhel,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Bairikhel village."
Ghyampe Danda Mountain Bike Trails,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to reach Ghyampe Danda Mountain Bike Trails."
Pilot Baba Ashram,Kathmandu,"From Kathmandu, drive north via Sundarijal to Pilot Baba Ashram."
Field of Green,Kavrepalanchok,"From Kathmandu, drive south via Godawari to Field of Green area."
Tarakeshwor Mahadev Temple,Kathmandu,"From Kathmandu, drive northwest to Tarakeshwor Mahadev Temple."
Samakhusi,Kathmandu,"From Kathmandu, drive within the city to reach Samakhusi neighborhood."
Boharatar,Kathmandu,"From Kathmandu, drive south via Godawari to Boharatar village."
Jamacho Gumba,Lalitpur,"From Kathmandu, drive north via Shivapuri Nagarjun National Park to Jamacho Gumba."
Ichangunarayan,Bhaktapur,"From Kathmandu, drive east to reach Ichangunarayan Temple."
Mudkhu,Kavrepalanchok,"From Kathmandu, drive north via Helambu trail to Mudkhu village."
Bhubaneshwori Temple,Kathmandu,"From Kathmandu, drive east via Banepa to Bhubaneshwori Temple."
Okharpauwa,Nuwakot,"From Kathmandu, drive north via Nuwakot District to reach Okharpauwa."
Kakani,Nuwakot,"From Kathmandu, drive northwest via Tokha and Nuwakot to Kakani."
Lauke Waterfall,Nuwakot,"From Kathmandu, drive north via Helambu trail to Lauke Waterfall."
Nuwakot,Nuwakot,"From Kathmandu, drive northwest via Tokha to Nuwakot town."
Bidur,Nuwakot,"From Kathmandu, drive northwest via Tokha to reach Bidur."
Duipipal,Nuwakot,"From Kathmandu, drive northwest via Nuwakot District to Duipipal."
Chepang Gaun,Nuwakot,"From Kathmandu, drive southwest via Dhading District to Chepang Gaun."
Baglung Bazaar,Baglung,"From Kathmandu, drive west via Prithvi Highway to Baglung Bazaar."
Panchakot,Baglung,"From Kathmandu, drive west via Prithvi Highway to Panchakot village."
Bihun,Baglung,"From Kathmandu, drive west via Prithvi Highway to Bihun village."
Nishi,Baglung,"From Kathmandu, drive west via Prithvi Highway to Nishi village."
Bhakunde,Baglung,"From Kathmandu, drive west via Prithvi Highway to Bhakunde village."
Arthar Dandakharka,Parbat,"From Kathmandu, drive west via Prithvi Highway to Arthar Dandakharka village."
Lekhphant,Parbat,"From Kathmandu, drive west via Prithvi Highway to Lekhphant village."
Kusma,Parbat,"From Kathmandu, drive west via Pokhara Highway to Kusma Bazaar."
Pokhara,Kaski,"From Kathmandu, drive west via Prithvi Highway to Pokhara city."
Sarangkot,Kaski,"From Pokhara city, drive or trek to Sarangkot hilltop."
Ghandruk,Kaski,"From Pokhara, drive or trek via Nayapul and Kimche to Ghandruk village."
Dhampus,Kaski,"From Pokhara, drive or trek via Phedi to Dhampus village."
Lwang Ghalel,Kaski,"From Pokhara, drive via Kaski district roads to Lwang Ghalel."
Ghale Gaun,Lamjung,"From Pokhara, drive or trek via Ghandruk area to Ghale Gaun."
Bhujung,Lamjung,"From Pokhara, drive or trek via Nayapul to Bhujung village."
Rainaskot,Lamjung,"From Pokhara, drive or trek to Rainaskot village."
Lamjung Himal Viewpoint,Lamjung,"From Pokhara, drive or trek via Rainaskot to Lamjung Himal viewpoint."
Gorkha Bazaar,Gorkha,"From Kathmandu, drive northwest via Prithvi Highway and Gorkha District to Gorkha Bazaar."
Manakamana,Gorkha,"From Gorkha Bazaar, drive or take a cable car to Manakamana Temple."
Barpak,Gorkha,"From Gorkha Bazaar, drive or trek to Barpak village."
Laprak,Gorkha,"From Gorkha Bazaar, drive or trek to Laprak village."
Manang Bazaar,Manang,"From Kathmandu, drive via Besisahar, then trek or drive via Marsyangdi Valley to Manang Bazaar."
Braga,Manang,"From Manang Bazaar, trek north via Thorong La trail to Braga village."
Khangsar,Manang,"From Manang Bazaar, trek north via Braga trail to Khangsar village."
Jomsom,Mustang,"From Kathmandu, fly from KTM to Jomsom airport or drive via Beni Bazaar and motorable road."
Lo Manthang,Mustang,"From Jomsom, drive or trek north via Kali Gandaki Valley to Lo Manthang."
Muktinath,Mustang,"From Jomsom, drive or trek north via Kagbeni to Muktinath Temple."
Kagbeni,Mustang,"From Jomsom, drive or trek north to Kagbeni village."
Marpha,Mustang,"From Jomsom, drive or trek north via Kali Gandaki to Marpha village."
Beni Bazaar,Myagdi,"From Pokhara, drive west via Prithvi Highway to Beni Bazaar."
Tatopani,Myagdi,"From Beni, drive west via Kali Gandaki valley to Tatopani village."
Babiyachaur,Myagdi,"From Beni, drive north via Myagdi district roads to Babiyachaur."
Dhorpatan,Baglung/Myagdi,"From Kathmandu, drive west via Baglung and Myagdi to reach Dhorpatan."
Devghat,Nawalpur,"From Kathmandu, drive southwest via Narayangadh to Devghat."
Kawasoti,Nawalpur,"From Kathmandu, drive southwest via Narayangadh and Bharatpur to Kawasoti."
Hupsekot,Nawalpur,"From Kathmandu, drive southwest via Narayangadh to Hupsekot village."
Bandipur,Tanahun,"From Kathmandu, drive west via Mugling and Dumre to reach Bandipur."
Bhimad,Tanahun,"From Kathmandu, drive west via Prithvi Highway to Bhimad in Tanahun District."
Ghalechowk,Tanahun,"From Kathmandu, drive west via Prithvi Highway and cross the Kali Gandaki bridge to reach Ghalechowk."
Damauli,Tanahun,"From Kathmandu, drive west via Prithvi Highway to Damauli, Tanahun District."
Arjunchaupari,Syangja,"From Kathmandu, drive west via Prithvi Highway to Arjunchaupari village."
Pelkachaur,Syangja,"From Kathmandu, drive west via Prithvi Highway to Pelkachaur."
Putalibazar,Syangja,"From Kathmandu, drive west via Prithvi Highway to Putalibazar, Syangja District."
Amppipal,Gorkha,"From Kathmandu, drive west via Prithvi Highway, then take local road to Amppipal village."
Makaikhola,Kaski,"From Kathmandu, drive west via Prithvi Highway and Syangja road to Makaikhola."
Chongur (Chhyokhar),Mustang (Muktinath area),"From Kathmandu, drive west via Pokhara and Syangja district roads to Chongur (Chhyokhar)."
Tangbe,Mustang,"From Kathmandu, fly or drive to Pokhara, then drive or trek north via Kali Gandaki Valley to Tangbe."
Majibari,Lamjung,"From Kathmandu, drive to Pokhara via Prithvi Highway and continue towards Annapurna region to Majibari."
Dhakmar,Mustang,"From Kathmandu, fly to Pokhara and trek via Annapurna trail to Dhakmar village."
Tsarang / Charang,Mustang,"From Kathmandu, fly to Jomsom or drive via Beni Bazaar, then trek north via Kali Gandaki Valley to Tsarang / Charang."
Yara (Yara Ghara area),Mustang (Upper Mustang),"From Kathmandu, drive to Pokhara and trek via Kali Gandaki Valley to Yara Ghara area."
Luri Gompa,Mustang,"From Kathmandu, drive to Pokhara and trek via Kali Gandaki Valley to Luri Gompa."
Chhusang,Mustang,"From Kathmandu, fly or drive to Jomsom, then drive/trek north to Chhusang village."
Lumbini Village Lesser Temples,Rupandehi,"From Kathmandu, drive southwest via Butwal to Lumbini Village area and visit lesser temples."
Tansen,Palpa,"From Kathmandu, drive west via Prithvi Highway to Tansen, Palpa District."
Khaireni Hill Viewpoint,Dang,"From Kathmandu, drive west via Prithvi Highway and local hill roads to Khaireni Hill viewpoint."
Dang Valley Minor Viewpoints,Dang,"From Kathmandu, drive southwest via Narayangadh and Tulsipur to reach Dang Valley minor viewpoints."
Buddha Statue Viewpoint,Rupandehi,"From Kathmandu, drive southwest via Tulsipur to Dang Buddha Statue viewpoint."
Majhgaon Hill Lesser Viewpoints,Dang,"From Kathmandu, drive southwest via Dang district roads to Majhgaon Hill."
Dang Offbeat Hilltop,Dang,"From Kathmandu, drive southwest via Narayangadh and Dang district to offbeat hilltop locations in Dang."
Jagatnagar Village,Arghakhanchi,"From Kathmandu, drive southwest via Butwal to Jagatnagar village."
Rupandehi Traditional Villages,Rupandehi,"From Kathmandu, drive southwest via Butwal and Lumbini zone to reach traditional villages in Rupandehi."
Ghodaghodi Lesser Villages,Kailali/Rupandehi,"From Kathmandu, drive southwest via Bhalubang and Ghodaghodi Lake area to reach minor villages."
Syangja Waterfall,Palpa,"From Kathmandu, drive west via Prithvi Highway and Syangja district roads to Syangja Waterfall."
Mahendra Cave,Rupandehi,"From Kathmandu, drive west via Prithvi Highway and Pokhara to Mahendra Cave."
Siddha Cave,Rupandehi,"From Kathmandu, drive west via Prithvi Highway and Pokhara to Siddha Cave."
Pyuthan Micro Viewpoint,Pyuthan,"From Kathmandu, drive southwest via Tulsipur and Pyuthan district roads to Pyuthan micro viewpoint."
Pyuthan,Pyuthan,"From Kathmandu, drive southwest via Tulsipur to reach Pyuthan town."
Bardiya,Bardiya,"From Kathmandu, drive southwest via Narayangadh and Gularia to Bardiya District."
Dang,Dang,"From Kathmandu, drive southwest via Narayangadh and Tulsipur to Dang District."
Kothi River,Arghakhanchi,"From Kathmandu, drive southwest via Dang and Bardiya District to Kothi River."
Gaidahawa Lake,Rupandehi,"From Kathmandu, drive southwest via Butwal and Rupandehi District to Gaidahawa Lake."
Kothi Minor Temples,Arghakhanchi,"From Kathmandu, drive southwest via Dang and Bardiya District to visit minor temples near Kothi."
Ghodaghodi Lake,Kailali/Rupandehi,"From Kathmandu, drive southwest via Bhalubang and Bardiya District to Ghodaghodi Lake."
Devdaha Ancient Monuments Minor Sites,Rupandehi,"From Kathmandu, drive southwest via Butwal and Rupandehi District to Devdaha minor sites."
Tansen Lesser Waterfalls,Palpa,"From Kathmandu, drive west via Prithvi Highway to Tansen and local roads to visit lesser waterfalls."
Arghakhanchi,Arghakhanchi,"From Kathmandu, drive west via Prithvi Highway and local roads to Arghakhanchi District."
Kapilvastu,Kapilvastu,"From Kathmandu, drive southwest via Butwal to Kapilvastu District."
Rupandehi,Rupandehi,"From Kathmandu, drive southwest via Narayangadh and Butwal to Rupandehi District."
Palpa,Palpa,"From Kathmandu, drive west via Prithvi Highway and Tansen to Palpa District."
Bardiya Tiny Shrine,Bardiya,"From Kathmandu, drive southwest via Gularia to Bardiya District to visit tiny shrine."
Dang Minor Temple,Dang,"From Kathmandu, drive southwest via Tulsipur to Dang District to visit minor temple."
Siddha Baba Temple (Butwal area),Rupandehi,"From Kathmandu, drive southwest via Narayangadh and Butwal to Siddha Baba Temple."
Tila Village (Rupandehi rural tourism example),Rupandehi,"From Kathmandu, drive southwest via Butwal to Tila Village in Rupandehi."
Rupandehi Cultural Sites (Siddharthanagar),Rupandehi,"From Kathmandu, drive southwest via Butwal to Siddharthanagar to explore cultural sites."
Kapilvastu (Tilaurakot),Kapilvastu,"From Kathmandu, drive southwest via Butwal to Tilaurakot in Kapilvastu District."
Bardiya National Park,Bardiya,"From Kathmandu, drive southwest via Narayangadh and Gularia to Bardiya National Park."
Tansen (Palpa),Palpa,"From Kathmandu, drive west via Prithvi Highway to Tansen, Palpa District."
Lumbini (Mayadevi Temple),Rupandehi,"From Kathmandu, drive southwest via Butwal to Lumbini and visit Mayadevi Temple."
Lumbini Sacred Garden,Rupandehi,"From Kathmandu, drive southwest via Butwal to Lumbini Sacred Garden."
Ramgram Stupa,Nawalparasi,"From Kathmandu, drive southwest via Butwal and Palhinandan to reach Ramgram Stupa."
Devdaha Minor Monuments,Rupandehi,"From Kathmandu, drive southwest via Butwal and Rupandehi District to Devdaha minor monuments."
Lumbini,Rupandehi,"From Kathmandu, drive southwest via Butwal to Lumbini town area."
Majhgaon Waterfall,Dang,"From Kathmandu, drive southwest via Tulsipur and Dang district roads to Majhgaon Waterfall."
Tilaurakot Palace Ruins,Kapilvastu,"From Kathmandu, drive southwest via Butwal to Tilaurakot in Kapilvastu."
Chitwan Riverbank Minor Spots,Nawalparasi,"From Kathmandu, drive south via Mugling and Narayangadh to Chitwan riverbank spots."
Barahi Temple,Palpa,"From Kathmandu, drive south via Mugling and Narayangadh to Barahi Temple in Chitwan."
Tinau River,Palpa/Rupandehi,"From Kathmandu, drive southwest via Mugling and Narayangadh to reach Tinau River near Butwal."
Butwal Cultural Area,Rupandehi,"From Kathmandu, drive southwest via Narayangadh to reach Butwal city cultural sites."
Maya Devi Temple,Rupandehi,"From Kathmandu, drive southwest via Butwal to Lumbini and visit Maya Devi Temple."
Puskharni Pond,Rupandehi,"From Kathmandu, drive southwest via Butwal to Lumbini to see Puskharni Pond."
Arghakhanchi,Arghakhanchi,"From Kathmandu, drive west via Prithvi Highway to Arghakhanchi District."
Barahi Temple,Palpa,"From Kathmandu, drive south via Mugling and Narayangadh to Barahi Temple in Chitwan."
Bardiya,Bardiya,"From Kathmandu, drive southwest via Narayangadh and Gularia to reach Bardiya District."
Bardiya National Park,Bardiya,"From Kathmandu, drive southwest via Gularia to Bardiya National Park."
Bardiya Tiny Shrine,Bardiya,"From Kathmandu, drive southwest via Gularia to Bardiya District to visit tiny shrine."
Buddha Statue Viewpoint,Rupandehi,"From Kathmandu, drive southwest via Tulsipur to Dang Buddha Statue viewpoint."
Butwal Cultural Area,Rupandehi,"From Kathmandu, drive southwest via Narayangadh to Butwal cultural area."
Chitwan Riverbank Minor Spots,Nawalparasi,"From Kathmandu, drive south via Mugling and Narayangadh to Chitwan riverbank minor spots."
Dang,Dang,"From Kathmandu, drive southwest via Narayangadh and Tulsipur to Dang District."
Dang Minor Temple,Dang,"From Kathmandu, drive southwest via Tulsipur to Dang District to visit minor temple."
Dang Offbeat Hilltop,Dang,"From Kathmandu, drive southwest via Narayangadh and Dang district roads to offbeat hilltop."
Dang Valley Minor Viewpoints,Dang,"From Kathmandu, drive southwest via Narayangadh and Dang district roads to Dang Valley minor viewpoints."
Devdaha Ancient Monuments Minor Sites,Rupandehi,"From Kathmandu, drive southwest via Butwal and Rupandehi District to Devdaha minor sites."
Devdaha Minor Monuments,Rupandehi,"From Kathmandu, drive southwest via Butwal and Rupandehi District to Devdaha minor monuments."
Gaidahawa Lake,Rupandehi,"From Kathmandu, drive southwest via Butwal and Rupandehi District to Gaidahawa Lake."
Ghodaghodi Lake,Kailali/Rupandehi,"From Kathmandu, drive southwest via Bhalubang and Bardiya District to Ghodaghodi Lake."
Ghodaghodi Lesser Villages,Kailali/Rupandehi,"From Kathmandu, drive southwest via Bhalubang and Bardiya District to minor villages near Ghodaghodi Lake."
Jagatnagar Village,Arghakhanchi,"From Kathmandu, drive southwest via Butwal to Jagatnagar village."
Kapilvastu,Kapilvastu,"From Kathmandu, drive southwest via Butwal to Kapilvastu District."
Kapilvastu (Tilaurakot),Kapilvastu,"From Kathmandu, drive southwest via Butwal to Tilaurakot in Kapilvastu District."
Khaireni Hill Viewpoint,Dang,"From Kathmandu, drive west via Prithvi Highway and local hill roads to Khaireni Hill viewpoint."
Kothi Minor Temples,Arghakhanchi,"From Kathmandu, drive southwest via Dang and Bardiya District to visit minor temples near Kothi."
Kothi River,Arghakhanchi,"From Kathmandu, drive southwest via Dang and Bardiya District to Kothi River."
Lumbini,Rupandehi,"From Kathmandu, drive southwest via Butwal to Lumbini town area."
Lumbini (Mayadevi Temple),Rupandehi,"From Kathmandu, drive southwest via Butwal to Lumbini and visit Mayadevi Temple."
Lumbini Sacred Garden,Rupandehi,"From Kathmandu, drive southwest via Butwal to Lumbini Sacred Garden."
Lumbini Village Lesser Temples,Rupandehi,"From Kathmandu, drive southwest via Butwal to Lumbini village to visit minor temples."
Mahendra Cave,Rupandehi,"From Kathmandu, drive west via Prithvi Highway and Pokhara to Mahendra Cave."
Majhgaon Hill Lesser Viewpoints,Dang,"From Kathmandu, drive southwest via Dang district roads to Majhgaon Hill."
Majhgaon Waterfall,Dang,"From Kathmandu, drive southwest via Dang district roads to Majhgaon Waterfall."
Maya Devi Temple,Rupandehi,"From Kathmandu, drive southwest via Butwal to Lumbini and visit Maya Devi Temple."
Palpa,Palpa,"From Kathmandu, drive west via Prithvi Highway to Tansen and Palpa District."
Puskharni Pond,Rupandehi,"From Kathmandu, drive southwest via Butwal to Lumbini to see Puskharni Pond."
Pyuthan,Pyuthan,"From Kathmandu, drive southwest via Tulsipur to Pyuthan District."
Pyuthan Micro Viewpoint,Pyuthan,"From Kathmandu, drive southwest via Tulsipur and Pyuthan district roads to micro viewpoint."
Ramgram Stupa,Nawalparasi,"From Kathmandu, drive southwest via Butwal to Ramgram Stupa in Palhinandan."
Rupa Lake (near Pokhara / boundary),Kaski,"From Kathmandu, drive west via Prithvi Highway to Pokhara, then drive to Rupa Lake near Pokhara."
Rupandehi,Rupandehi,"From Kathmandu, drive southwest via Butwal to Rupandehi District."
Rupandehi Cultural Sites (Siddharthanagar),Rupandehi,"From Kathmandu, drive southwest via Butwal to Siddharthanagar to explore cultural sites."
Rupandehi Traditional Villages,Rupandehi,"From Kathmandu, drive southwest via Butwal and Rupandehi District to visit traditional villages."
Siddha Baba Temple (Butwal area),Rupandehi,"From Kathmandu, drive southwest via Narayangadh and Butwal to Siddha Baba Temple."
Siddha Cave,Rupandehi,"From Kathmandu, drive west via Prithvi Highway and Pokhara to Siddha Cave."
Syangja Waterfall,Palpa,"From Kathmandu, drive west via Prithvi Highway and Syangja district roads to Syangja Waterfall."
Tansen,Palpa,"From Kathmandu, drive west via Prithvi Highway to Tansen, Palpa District."
Tansen (Palpa),Palpa,"From Kathmandu, drive west via Prithvi Highway to Tansen in Palpa District."
Tansen Lesser Waterfalls,Palpa,"From Kathmandu, drive west via Prithvi Highway to Tansen and local roads to visit lesser waterfalls."
Tila Village (Rupandehi rural tourism example),Rupandehi,"From Kathmandu, drive southwest via Butwal to Tila Village in Rupandehi."
Tilaurakot Palace Ruins,Kapilvastu,"From Kathmandu, drive southwest via Butwal to Tilaurakot in Kapilvastu District."
Tinau River,Palpa/Rupandehi,"From Kathmandu, drive southwest via Mugling and Narayangadh to Tinau River near Butwal."
Kamal Pokhari,Rukum East,"From Kathmandu, drive west via Prithvi Highway and Syangja district roads to Kamal Pokhari."
Kamal Dah,Rukum East,"From Kathmandu, drive west via Prithvi Highway and Syangja district roads to Kamal Dah."
Deurali Cave,Rukum East,"From Kathmandu, drive west via Prithvi Highway and local hill roads to Deurali Cave."
Jogidanda,Rukum East,"From Kathmandu, drive west via Prithvi Highway and Syangja district roads to Jogidanda."
Rangsi,Rukum East,"From Kathmandu, drive west via Prithvi Highway and Syangja district roads to Rangsi village."
Jang,Rukum East,"From Kathmandu, drive west via Prithvi Highway and Syangja district roads to Jang village."
Hukam,Rukum East,"From Kathmandu, drive west via Prithvi Highway and Syangja district roads to Hukam village."
Sundah,Dang,"From Kathmandu, drive west via Prithvi Highway and local hill roads to reach Sundah."
Sisne,Dang,"From Kathmandu, drive west via Prithvi Highway and local roads to Sisne village."
Thawang,Rolpa,"From Kathmandu, drive west via Prithvi Highway and hill roads to Thawang."
Rujikhola,Pyuthan,"From Kathmandu, drive west via Prithvi Highway and hill roads to reach Rujikhola river area."
Naribang,Pyuthan,"From Kathmandu, drive west via Prithvi Highway and local roads to Naribang."
Tulsipur,Dang,"From Kathmandu, drive southwest via Mahendra Highway to Tulsipur in Dang District."
Beljhundi,Dang,"From Kathmandu, drive southwest via Mahendra Highway and local Dang District roads to Beljhundi."
Dudhras,Dang,"From Kathmandu, drive southwest via Mahendra Highway and local Dang District roads to Dudhras."
